model_id,checkpoint_stage,kd_steps,benchmark,metric,value,unit,numerator,denominator,sample_count,repetition,evaluation_contract_id,row_selection_identity_sha256,row_manifest_sha256,evaluator_id,cohort
teacher,teacher,,realworldqa,exact_match_flexible_extract,0.5625,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,reference
teacher,teacher,,mmmu_val,accuracy,0.29167,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,reference
teacher,teacher,,mvbench_macro,macro_accuracy,0.41875,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,reference
architecture_2a343aec3100a1b4,post_kd,64,realworldqa,exact_match_flexible_extract,0.59375,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
architecture_2a343aec3100a1b4,post_kd,64,mmmu_val,accuracy,0.29167,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
architecture_2a343aec3100a1b4,post_kd,64,mvbench_macro,macro_accuracy,0.40625,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
architecture_2a343aec3100a1b4,post_kd,128,realworldqa,exact_match_flexible_extract,0.59375,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
architecture_2a343aec3100a1b4,post_kd,128,mmmu_val,accuracy,0.325,fraction,,,120,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
architecture_2a343aec3100a1b4,post_kd,128,mvbench_macro,macro_accuracy,0.4125,fraction,,,160,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
architecture_2a343aec3100a1b4,post_kd,256,realworldqa,exact_match_flexible_extract,0.578125,fraction,,,64,1,qwen35-vlm-rwqa64-mmmu120-mvbench160-frozen-v1,c088a0421497c34592a1fe7828cbb93a399744e7e29ec4b098206cde04906326,b29625345a932b8e514e7911e7ec98a28302b886ae1e1d831cbb6db026b224ce,modelopt-vlm-evaluator@30fa674e68699b00db7582ed151cc078227ba970+lmms-eval@15c32bfec165df13c269ddd3cda03b2ed9137825,exploratory_retained_95_hidden_960_depth_0
